snapshot_month,benchmark_id,source_model_name,score_raw,score_date,source_url,adapter,notes
2026-04,gaia,AgentIM,0.3758,2026-04-20,https://huggingface.co/gaia-benchmark,hf_dataset_rows,Best-effort Hugging Face dataset adapter; keep manual fallback active because the public result dataset schema may drift.
2026-04,gaia,AgentIM v1.1,0.4,2026-04-20,https://huggingface.co/gaia-benchmark,hf_dataset_rows,Best-effort Hugging Face dataset adapter; keep manual fallback active because the public result dataset schema may drift.
2026-04,gaia,AutoGPT4,0.0485,2026-04-20,https://huggingface.co/gaia-benchmark,hf_dataset_rows,Best-effort Hugging Face dataset adapter; keep manual fallback active because the public result dataset schema may drift.
2026-04,gaia,Barcelona v0.1,0.503,2026-04-20,https://huggingface.co/gaia-benchmark,hf_dataset_rows,Best-effort Hugging Face dataset adapter; keep manual fallback active because the public result dataset schema may drift.
2026-04,gaia,GPT3.5,0.0485,2026-04-20,https://huggingface.co/gaia-benchmark,hf_dataset_rows,Best-effort Hugging Face dataset adapter; keep manual fallback active because the public result dataset schema may drift.
2026-04,gaia,GPT4,0.0606,2026-04-20,https://huggingface.co/gaia-benchmark,hf_dataset_rows,Best-effort Hugging Face dataset adapter; keep manual fallback active because the public result dataset schema may drift.
2026-04,gaia,GPT4 Turbo,0.097,2026-04-20,https://huggingface.co/gaia-benchmark,hf_dataset_rows,Best-effort Hugging Face dataset adapter; keep manual fallback active because the public result dataset schema may drift.
2026-04,gaia,open Deep Research | pass@1,0.5515,2026-04-20,https://huggingface.co/gaia-benchmark,hf_dataset_rows,Best-effort Hugging Face dataset adapter; keep manual fallback active because the public result dataset schema may drift.
2026-04,gaia,Auto-Deep-Research,0.5515,2026-04-20,https://huggingface.co/gaia-benchmark,hf_dataset_rows,Best-effort Hugging Face dataset adapter; keep manual fallback active because the public result dataset schema may drift.
2026-04,gaia,Hugging Face Agents + GPT-4o,0.4424,2026-04-20,https://huggingface.co/gaia-benchmark,hf_dataset_rows,Best-effort Hugging Face dataset adapter; keep manual fallback active because the public result dataset schema may drift.
2026-04,gaia,HuggingFace Agents + Llama3-70B,0.1697,2026-04-20,https://huggingface.co/gaia-benchmark,hf_dataset_rows,Best-effort Hugging Face dataset adapter; keep manual fallback active because the public result dataset schema may drift.
2026-04,gaia,Langfun Agent v2.0,0.5455,2026-04-20,https://huggingface.co/gaia-benchmark,hf_dataset_rows,Best-effort Hugging Face dataset adapter; keep manual fallback active because the public result dataset schema may drift.
2026-04,gaia,Magentic-1,0.3697,2026-04-20,https://huggingface.co/gaia-benchmark,hf_dataset_rows,Best-effort Hugging Face dataset adapter; keep manual fallback active because the public result dataset schema may drift.
2026-04,gaia,Magentic-1 (o1),0.4606,2026-04-20,https://huggingface.co/gaia-benchmark,hf_dataset_rows,Best-effort Hugging Face dataset adapter; keep manual fallback active because the public result dataset schema may drift.
2026-04,gaia,Multi-Agent Experiment v0.1 (powered by AutoGen),0.3939,2026-04-20,https://huggingface.co/gaia-benchmark,hf_dataset_rows,Best-effort Hugging Face dataset adapter; keep manual fallback active because the public result dataset schema may drift.
2026-04,gaia,FRIDAY,0.3455,2026-04-20,https://huggingface.co/gaia-benchmark,hf_dataset_rows,Best-effort Hugging Face dataset adapter; keep manual fallback active because the public result dataset schema may drift.
